,id,timestamp,text,speaker,reply_to,conversation_id,meta.receiver,meta.absolute_message_index,meta.relative_message_index,meta.year,meta.game_score,meta.game_score_delta,intent
69,Game6-turkey-germany-31,488,Awesome.  Can I help you with anything that doesn't result in me sacrificing the game?,germany-Game6,Game6-turkey-germany-30,Game6-turkey-germany,turkey-Game6,488,31,1909,3,-14,0
139,Game9-italy-russia-163,759,"With the builds I get from Austria, if all goes right, I should be able to crush Turkey with no more support from you than is necessary to claim your fair share of builds to use on the French front. Hopefully.",russia-Game9,Game9-italy-russia-162,Game9-italy-russia,italy-Game9,759,163,1902,6,2,0
77,Game1-turkey-italy-17,491,"The current A/R plan is for Austria to double support Russia to Bulgaria. Moscow is headed up to STP with Sev supporting UKR to BUL. I am supposed to make a surprise move towards France. 

A/R expects you to cover Smyrna and does not expect you to attack Sev given all the units surrounding you.",italy-Game1,Game1-turkey-italy-16,Game1-turkey-italy,turkey-Game1,491,17,1902,4,-1,1
756,Game9-italy-france-106,1407,"Thank you, small amounts of trust regained",italy-Game9,Game9-italy-france-105,Game9-italy-france,france-Game9,1407,106,1903,5,0,0
1330,Game3-turkey-italy-67,1642,"It's been a long weekend. Getting back into the dip mindset, do you think you can trust England to keep off your north?

If so, let's look at getting you Rum and Bul this year.",italy-Game3,Game3-turkey-italy-66,Game3-turkey-italy,turkey-Game3,1642,67,1907,8,4,0
1442,Game12-england-france-103,737,"Bah, adjucation at noon hmm",france-Game12,Game12-england-france-102,Game12-england-france,england-Game12,737,103,1905,6,0,1
591,Game2-austria-germany-89,638,Yes but I have to work something out with France first,germany-Game2,Game2-austria-germany-88,Game2-austria-germany,austria-Game2,638,89,1901,5,0,0
721,Game1-italy-germany-257,2116,I tried a double convoy in the sandbox once and it didn't work! What is this witchcraft?!?,germany-Game1,Game1-italy-germany-256,Game1-italy-germany,italy-Game1,2116,257,1907,7,-3,0
1447,Game12-turkey-russia-334,874,If you have something better I’m happy to do it!,russia-Game12,Game12-turkey-russia-333,Game12-turkey-russia,turkey-Game12,874,334,1907,11,-1,0
293,Game11-austria-france-6,293,"Yeah, how about germany? I’ve been talking to him a decent amount. He is very chatty but doesn’t seem to give away much",austria-Game11,Game11-austria-france-5,Game11-austria-france,france-Game11,293,6,1901,3,0,1
26,Game4-austria-russia-19,1038,What do you think?,russia-Game4,Game4-austria-russia-18,Game4-austria-russia,austria-Game4,1038,19,1904,6,1,0
1416,Game7-england-germany-40,690,I’d consider it if you could get France off my back,england-Game7,Game7-england-germany-39,Game7-england-germany,germany-Game7,690,40,1903,5,1,0
525,Game6-turkey-france-40,441,"Ok, let’s go for a 3-way win between me, u, and England, this is the most realistic option at this point",france-Game6,Game6-turkey-france-39,Game6-turkey-france,turkey-Game6,441,40,1907,8,-7,1
809,Game1-england-germany-329,1648,"I really don't think an attack from Gascony would be an issue, but I understand that your trust in France is much lower than mine. We could still work together somehow, though?",germany-Game1,Game1-england-germany-328,Game1-england-germany,england-Game1,1648,329,1906,5,0,0
1577,Game1-austria-france-10,350,I'll see what I can do.,austria-Game1,Game1-austria-france-9,Game1-austria-france,france-Game1,350,10,1902,5,0,1
204,Game2-austria-germany-281,1920,Yeah for sure,germany-Game2,Game2-austria-germany-280,Game2-austria-germany,austria-Game2,1920,281,1904,7,0,0
1042,Game4-italy-france-59,1146,"Your only threat at this point is Turkey, so If you keep Naples and the Ionian you will never lose Tunis or Naples and have a strong chance to pick up Greece",france-Game4,Game4-italy-france-58,Game4-italy-france,italy-Game4,1146,59,1904,9,7,1
47,Game7-germany-russia-56,546,"England just sent me a message that says he is going to take Denmark and then stop attacking me because of France... 
Like... what is he doing?",germany-Game7,Game7-germany-russia-55,Game7-germany-russia,russia-Game7,546,56,1902,4,-1,0
913,Game12-turkey-russia-378,938,"It’ll still probably end up that way, frankly.   Just seeing England roll over like a sick jellyfish and France continue to hold me off while crumbling to you... I figured worst case scenario: you still kill the entire west, I rule the east.  You realize you’re *still* closer to Gibraltar than I am!  So yeah, I didn’t think you were *planning* to screw me, I just looked at the map and saw: what if England and France just *gave him* the win?  Can’t I just cover my ass so even if he grows by 4 next year, I’m still ok?  And seriously: watch how it goes: even with this move, there is nothing I or they can do to stop you from crushing that whole side of the board.  And in 3 full game years? They’ll *still* both be dead!",turkey-Game12,Game12-turkey-russia-377,Game12-turkey-russia,russia-Game12,938,378,1907,13,2,1
825,Game4-germany-france-78,843,"And with Russia taking Munich, your survival means that we could coordinate to take it back in the case of a Russia/Turkey alliance.",france-Game4,Game4-germany-france-77,Game4-germany-france,germany-Game4,843,78,1903,5,0,1
1581,Game3-england-italy-182,1696,I suppose that was throwing out a line and hoping we could work together - you're in a position to help me East and West.,italy-Game3,Game3-england-italy-181,Game3-england-italy,england-Game3,1696,182,1907,8,1,0
1089,Game1-england-italy-284,1821,"So I would suggest this:
Bre S Wal - Pic
Wal - Pic
Channel Convoy Wal - Pic

That means Germany will lose Paris and Belgium this year. And I think you can defend your territory even with G in North Sea.",italy-Game1,Game1-england-italy-283,Game1-england-italy,england-Game1,1821,284,1907,10,5,1
596,Game4-austria-france-65,1243,"If there is absolutely anything I can do to help you with my army in Trieste, it's your unit to order",france-Game4,Game4-austria-france-64,Game4-austria-france,austria-Game4,1243,65,1905,12,9,1
249,Game1-austria-italy-12,362,"That's exactly what I'm thinking. I'm going to send Greece into the Aegean, you send Ionian into Eastern Med.",austria-Game1,Game1-austria-italy-11,Game1-austria-italy,italy-Game1,362,12,1902,5,1,0
1587,Game1-austria-italy-137,2080,The alliance is much more important to me than the dot.,italy-Game1,Game1-austria-italy-136,Game1-austria-italy,austria-Game1,2080,137,1907,10,4,1
93,Game8-turkey-russia-32,295,yes.  Italy ... Italy just fucked himself.  I'm building an army in Ankara.  Trying to decide whether to retreat the army to CON or rebuild it as a fleet.,turkey-Game8,Game8-turkey-russia-31,Game8-turkey-russia,russia-Game8,295,32,1902,4,-2,0
813,Game4-france-russia-191,1078,"I sent this to Austria as a recommendation and thought I'd share with you too:
Ukraine-Rumania
Moscow S Sevastopol H
Budapest S Serbia H
Serbia S Ukraine-Rumania
Galicia S Ukraine-Rumania",france-Game4,Game4-france-russia-190,Game4-france-russia,russia-Game4,1078,191,1904,6,0,0
76,Game10-austria-russia-106,654,"France is tapping Berlin, so I’ll tap Sil and you tap Bal and you should be able to crush Pru!",austria-Game10,Game10-austria-russia-105,Game10-austria-russia,russia-Game10,654,106,1904,7,0,0
1079,Game12-germany-france-5,113,"Sure, a strong England is always a threat to me, so I'd be happy to help annoy them in the North Sea/Scandinavia",germany-Game12,Game12-germany-france-4,Game12-germany-france,france-Game12,113,5,1901,3,0,1
658,Game3-austria-germany-91,1536,"also England is about to move up to 8 units, if you move up right after Russia's last army disbands then you can easily take Swe and Stp. Then Italy and I will be able to deal with turkey.",austria-Game3,Game3-austria-germany-90,Game3-austria-germany,germany-Game3,1536,91,1906,5,-2,0
1041,Game4-england-russia-28,637,I'm not exactly sure but France proposed it and I'm rolling with the flow,england-Game4,Game4-england-russia-27,Game4-england-russia,russia-Game4,637,28,1902,4,-1,1
137,Game2-austria-italy-525,2324,"Btw just sent this to England ""One of us has to move into it by the end of the year. Germany is building to move against me, Turkey is still a pain in the butt, and Italy is getting testy.  I need your help to crack this dude, and I can't be running damage control for the board on my own""",austria-Game2,Game2-austria-italy-524,Game2-austria-italy,italy-Game2,2324,525,1905,8,2,0
595,Game4-france-russia-142,936,I just asked Turkey why he isn't stabbing Austria. He replied that he is playing to solo. So I guess his thought is that he'll keep Austria as a puppet for the entire game and hopefully eek out enough progress to then brutally stab Austria on the last turn.,france-Game4,Game4-france-russia-141,Game4-france-russia,russia-Game4,936,142,1903,5,0,1
226,Game4-turkey-russia-95,1345,"If you give me berlin back, I can support you into edi",russia-Game4,Game4-turkey-russia-94,Game4-turkey-russia,turkey-Game4,1345,95,1906,9,3,1
1014,Game11-germany-france-2,20,"I spoke to England and they don't seem like a particularly diplomatic player, but I'm pretty sure I can get into the English channel. From there I would like to move to Belgium, since they will most likely be moving back to London. In return for Belgium I would be willing to support or convoy you into English territory.",france-Game11,Game11-germany-france-1,Game11-germany-france,germany-Game11,20,2,1901,3,0,1
478,Game4-austria-france-4,112,Just looking to secure my borders at the moment. You?,austria-Game4,Game4-austria-france-3,Game4-austria-france,france-Game4,112,4,1901,3,0,1
792,Game9-austria-russia-35,1164,"Ah, I see.",russia-Game9,Game9-austria-russia-34,Game9-austria-russia,austria-Game9,1164,35,1902,6,1,0
555,Game4-england-france-82,539,Is he giving you Belgium right now?,france-Game4,Game4-england-france-81,Game4-england-france,england-Game4,539,82,1902,6,2,1
656,Game9-turkey-austria-17,686,"I currently have my orders supporting Ser, unless you want to go with Bud instead?",turkey-Game9,Game9-turkey-austria-16,Game9-turkey-austria,austria-Game9,686,17,1902,4,-1,1
1034,Game1-england-austria-48,2562,"Looks like the game was created just after the option was instituted, so maybe it's in place? I think it would probably be more obvious it was enabled, however.",austria-Game1,Game1-england-austria-47,Game1-england-austria,england-Game1,2562,48,1908,3,-3,0
793,Game4-turkey-russia-107,1448,"So france has shown a lot of interest with me trying to get me u and them to go for the 3 way, which I think is a good idea... but if u do want to go for it we will have to be on the lookout because there is a good chance france is lieng and is going to try to go for the solo",russia-Game4,Game4-turkey-russia-106,Game4-turkey-russia,turkey-Game4,1448,107,1907,7,0,1
1434,Game4-france-russia-168,1006,"I'm paraphrasing, but Turkey told me he was not going to attack Austria because he wants to eliminate you first",france-Game4,Game4-france-russia-167,Game4-france-russia,russia-Game4,1006,168,1904,6,0,1
800,Game4-turkey-austria-20,406,Hmm we might need to change our plans. I think Russia is planning to go to sil anyway. Still on for Greece though. What are you going to do about tri? Can you trust Italy not to go for it?,turkey-Game4,Game4-turkey-austria-19,Game4-turkey-austria,austria-Game4,406,20,1902,5,1,0
1002,Game4-turkey-austria-55,1171,Will see what Russia has to say,austria-Game4,Game4-turkey-austria-54,Game4-turkey-austria,turkey-Game4,1171,55,1905,5,0,0
1020,Game1-germany-russia-17,848,"Ah right okay. Well, do let me know if there's anything I can do to help? Esp. if you're willing to support me into Denmark this year, and then I could support you into Sweden in the fall?",germany-Game1,Game1-germany-russia-16,Game1-germany-russia,russia-Game1,848,17,1904,4,-3,1
639,Game2-italy-germany-237,2057,"I mean, you know his interactions with you better than I do, but it seems like his back is up against the wall a bit here",italy-Game2,Game2-italy-germany-236,Game2-italy-germany,germany-Game2,2057,237,1904,5,-2,0
177,Game9-italy-russia-270,1228,"France sounds a little apologetic and defeated, could be a ruse but I’m hopeful",italy-Game9,Game9-italy-russia-269,Game9-italy-russia,russia-Game9,1228,270,1902,5,-2,0
529,Game3-england-france-91,1457,Let's think on it a bit and see what we can come up with,england-Game3,Game3-england-france-90,Game3-england-france,france-Game3,1457,91,1906,7,3,1
1027,Game3-england-germany-130,828,Yes that sounds good,germany-Game3,Game3-england-germany-129,Game3-england-germany,england-Game3,828,130,1903,4,-3,0
361,Game1-england-germany-77,485,Well England you've taught me an important lesson,germany-Game1,Game1-england-germany-76,Game1-england-germany,england-Game1,485,77,1902,5,1,0
346,Game7-england-austria-0,28,Hello there! I realize we may not have a ton to talk about but I’m curious about your opinion of the game in general. Also maybe what you think is going on with Italy and Russia.,england-Game7,,Game7-england-austria,austria-Game7,28,0,1901,3,0,0
1306,Game7-austria-italy-110,811,Will you be available then?,italy-Game7,Game7-austria-italy-109,Game7-austria-italy,austria-Game7,811,110,1906,7,3,1
863,Game11-austria-italy-60,704,"If you would rather coordinate with Turkey against Russia, I'm open to the idea of a southern triple as Turkey suggested",italy-Game11,Game11-austria-italy-59,Game11-austria-italy,austria-Game11,704,60,1902,5,0,0
1272,Game7-england-germany-18,209,Yeah it means he will not be friendly. I’ll be in NTH so I’ll be in a powerful position. I’ll be happy to lend support assuming I am cleared to get Nwy. Just let me know,england-Game7,Game7-england-germany-17,Game7-england-germany,germany-Game7,209,18,1901,3,0,1
1217,Game3-england-germany-81,613,"Yes, I agree about figuring a plan to split up Russia. Austria is aiming for Russia too, so we can probably use him along the way",germany-Game3,Game3-england-germany-80,Game3-england-germany,england-Game3,613,81,1902,5,0,0
495,Game2-austria-italy-233,791,"Both seem good.  I'd split the fleets, one west and one east, but that's just me",austria-Game2,Game2-austria-italy-232,Game2-austria-italy,italy-Game2,791,233,1902,5,1,0
783,Game11-germany-france-90,951,And it looks like the Turks and Austrians are at each others throats now.,germany-Game11,Game11-germany-france-89,Game11-germany-france,france-Game11,951,90,1904,7,0,0
1025,Game4-turkey-russia-23,324,Mhm.,russia-Game4,Game4-turkey-russia-22,Game4-turkey-russia,turkey-Game4,324,23,1901,5,0,1
845,Game6-england-france-64,504,"Yea, Russia got lucky",france-Game6,Game6-england-france-63,Game6-england-france,england-Game6,504,64,1910,7,1,1
1017,Game12-turkey-italy-35,701,"Yeah.  For this season, there’s no point in trying to negotiate something: the risk is too high for you on a fall turn.  But maybe once you’re turtled up and we’re looking at a slightly safer spring move, we can discuss some way to slingshot me past you",turkey-Game12,Game12-turkey-italy-34,Game12-turkey-italy,italy-Game12,701,35,1905,8,4,1
939,Game9-england-germany-31,336,I hope you don’t mind if I go through with Denmark!,germany-Game9,Game9-england-germany-30,Game9-england-germany,england-Game9,336,31,1901,3,0,0
1285,Game2-turkey-england-54,3102,What do you suggest?,england-Game2,Game2-turkey-england-53,Game2-turkey-england,turkey-Game2,3102,54,1908,8,4,0
1173,Game1-england-italy-347,1961,I can settle for survival. Deal.,england-Game1,Game1-england-italy-346,Game1-england-italy,italy-Game1,1961,347,1907,5,-5,1
736,Game11-turkey-russia-22,412,sorry was off the grid with no internet for the large chunk of the weekend!,russia-Game11,Game11-turkey-russia-21,Game11-turkey-russia,turkey-Game11,412,22,1902,5,1,1
322,Game9-france-russia-118,809,"Here's a proposal for you: We'll all trick the British together yes? You have their trust, you can convince them that because I'm going to use all my resources to clamp down Norway, meaning that they cannot possibly take it, and that since the Germans are obviously going to support Munich with the army in Kiel that they cannot take it. Furthermore, ""you got the Germans to admit"" That they will only be coming to Netherlands with the fleet in Belgium + the fleet in the Helgoland Bight.

Thus you suggest that they do a supported move to the Netherlands using F North Sea and A Ruhr to block that, while you take Belgium.

This will fool them sufficiently that the Germans can use the army in Kiel to support the fleet in Belgium into the Netherlands as well as the fleet in the Bight, ceding Belgium to you in the process, while also freeing me of one necessary support so that I can move from Sweden to Skagerrak, and the British lose two of their units this build phase. Questions?",russia-Game9,Game9-france-russia-117,Game9-france-russia,france-Game9,809,118,1902,6,1,1
235,Game1-italy-germany-247,2099,"Yes — here is how I expect and hope the game will play out: the two of us finish off England and France, while drifting towards the east a bit. With the builds we get this year, we essentially blitzkrieg the East. I have more units than you, but you have no opposition at all in the north, and can take Scandinavia, War and Mos without any trouble.",italy-Game1,Game1-italy-germany-246,Game1-italy-germany,germany-Game1,2099,247,1907,10,3,1
292,Game1-england-italy-233,1666,Test.,italy-Game1,Game1-england-italy-232,Game1-england-italy,england-Game1,1666,233,1906,8,3,1
1395,Game7-italy-russia-62,881,"*told, least",russia-Game7,Game7-italy-russia-61,Game7-italy-russia,italy-Game7,881,62,1907,4,-1,0
1164,Game1-england-france-56,271,"I agree Russia and Turkey are in trouble, but I think Russia is more vulnerable. I actually think it's possible that Turkey and Austria are friendly. Maybe the lepanto will be set up but won't come to fruition. If I were to add more pressure in the North, I think it's a really bad time for Russia overall. This gives me some leverage in negotiating with Russia.",england-Game1,Game1-england-france-55,Game1-england-france,france-Game1,271,56,1901,4,-1,0
866,Game4-austria-russia-30,1105,Thoughts?,austria-Game4,Game4-austria-russia-29,Game4-austria-russia,russia-Game4,1105,30,1904,5,-1,0
